ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,GXCAN15,DCDC48V,LPTC,BMS,Tester,APM,HPC_ETH,LPDP,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,0,L_LPTC_SM_LState,State of LPTC State Machine,5,0,,m,u,,,s,,,,r,,0..31,,"0: ST00_Pwr_Not_Ready, 1: ST01_QuickBoot, 2: ST02_Ensure_Start, 3: ST03_Precharge_Init, 4: ST04_Lyft_HV_Stable, 5: ST05_LPower_UP, 6: ST10_Lyft_Power_ON, 7: ST20_Lyft_Pwr_Down, 8: ST21_HCP_Cmd_OFF, 9: ST22_Power_Off_Seq, 10: ST30_Pwr_FAULT, 11: ST31_Pwr_Limp_FAULT, 12: ST32_Pwr_Impact_FAULT, 13: ST40_LPTC_OFF",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,5,L_LPTC_HVIL_LID_SW_FAULT,Lid Switch interlock status,1,0,,m,u,,,s,,,,r,,0..1,,"0: No HVIL Violation, 1: HVIL Violation",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,5,L_LPTC_HVIL_LID_SW_FAULT,Lid Switch interlock status,1,0,,m,u,,,s,,,,r,,0..1,,"0: No HVIL Violation, 1: HVIL Violation",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,6,L_LPTC_HVIL_DCDC_FAULT,DCDC does not receive Lyft HV in bounds.,1,0,,m,u,,,s,,,,r,,0..1,,"0: No HVIL Violation, 1: HVIL Violation",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,1,6,L_LPTC_HVIL_DCDC_FAULT,DCDC does not receive Lyft HV in bounds.,1,0,,m,u,,,s,,,,r,,0..1,,"0: No HVIL Violation, 1: HVIL Violation",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,0,L_LPTC_StateReport_APM1,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,0,L_LPTC_StateReport_APM1,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,0,L_LPTC_StateReport_APM1,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,0,L_LPTC_StateReport_APM1,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,2,L_LPTC_StateReport_Backup_BMS,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,2,L_LPTC_StateReport_Backup_BMS,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,2,L_LPTC_StateReport_Backup_BMS,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,2,L_LPTC_StateReport_Backup_BMS,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,4,L_LPTC_StateReport_DCDC,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,4,L_LPTC_StateReport_DCDC,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,4,L_LPTC_StateReport_DCDC,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,4,L_LPTC_StateReport_DCDC,Summary of state report of DCDC from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,6,L_LPTC_StateReport_HVJB,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,6,L_LPTC_StateReport_HVJB,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,6,L_LPTC_StateReport_HVJB,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,2,6,L_LPTC_StateReport_HVJB,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,0,L_LPTC_StateReport_LPDP,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,0,L_LPTC_StateReport_LPDP,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,0,L_LPTC_StateReport_LPDP,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,0,L_LPTC_StateReport_LPDP,Summary of state report of LPDP from LPTC,2,0,,m,u,,,s,,,,r,,0..3,,"0: NOT_READY, 1: ACTIVE_ON, 2: DISABLED_OFF, 3: FAULTED",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,2,L_LPTC_StateReport_OVRTEMP,State of LPTC board temperature,2,0,,m,u,,,s,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRESH1_WARNING, 2: OVRTEMP_THRESH2_WARNING, 3: OVRTEMP_THRESH3_FAULT",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,2,L_LPTC_StateReport_OVRTEMP,State of LPTC board temperature,2,0,,m,u,,,s,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRESH1_WARNING, 2: OVRTEMP_THRESH2_WARNING, 3: OVRTEMP_THRESH3_FAULT",,
201h,L_LPTC_HearBeat_Status,0,cyclicX,0,3,2,L_LPTC_StateReport_OVRTEMP,State of LPTC board temperature,2,0,,m,u,,,s,,,,,,0..3,,"0: NO_FAULT, 1: OVRTEMP_THRESH1_WARNING, 2: OVRTEMP_THRESH2_WARNING, 3: OVRTEMP_THRESH3_FAULT",,
